theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d60_reach_d5,d60_reach_d10,d60_reach_d15,d60_reach_d20,d60_has_B,d60_has_A,d60_has_S,d60_p50,d60_p90,d60_p99,d60_p99_p50,d60_mean_bonus,d60_p99_bonus,d60_sink,d60_inflow,d60_refund,d60_sink_ratio,d60_drop7,d60_spare_total
6858,594.8475,1.0478753,302.25333,1.428055,1.0068556,406.08057,0.0477257,0.012336228,0.002318306,0.00050621846,0.5633289,0.7625064,0.8824233,0.16293356,0.25717986,0.54846007,0.9234252,0.7158543,0.013996139,0.00060328183,0.0,0.22285232,0.043677606,0.0,3681.2095,11084.957,28042.555,7.617756,0.020829197,0.15375212,57628744.0,55381316.0,62.5,1.0405798,0.41855693,1445.3125
6859,864.17664,1.4156533,764.40607,1.5659168,0.923857,323.21292,0.028630001,0.0036637047,0.0013287222,0.00021527095,1.4686744,1.099675,1.1609873,0.2443387,0.41640115,0.5728767,0.73306763,0.38561776,0.0020511583,0.0,0.0,0.16204152,0.02726834,0.0,5390.5933,18782.744,52657.367,9.768381,0.018351268,0.1471375,96045870.0,109455410.0,156.25,0.8774873,0.32927123,1025.75
6860,994.6074,0.9523885,666.3533,1.526319,0.9080206,160.47878,0.042561002,0.01496521,0.003009513,0.0006669621,0.87033916,1.013673,0.9300294,0.20526233,0.39820006,0.6127956,0.6734597,0.17953667,0.002895753,0.0,0.0,0.2649614,0.050434362,0.0,3976.2212,13791.67,38567.113,9.699439,0.025145575,0.190994,82398190.0,85072220.0,281.25,0.96856433,0.3791023,1363.625
6861,553.0016,1.3830084,470.80176,1.3831714,1.0472763,415.69647,0.02346275,0.0055438904,0.0007177903,0.0003818741,1.3476115,0.84850717,1.2014592,0.116677865,0.28960484,0.4899888,0.88256586,0.6605936,0.026785716,0.00096525095,0.0,0.12355213,0.046814673,0.0,4724.7676,15751.643,46544.938,9.851265,0.016040409,0.15030938,60879110.0,68284490.0,343.75,0.8915466,0.29693532,935.1875
6862,700.9409,0.84084755,688.0056,1.5895625,1.1986188,348.6042,0.03795684,0.008702504,0.0022495522,0.00012910925,1.7892499,0.9458304,0.70981765,0.21263938,0.21604526,0.6690488,0.8082255,0.17084941,0.002895753,0.0,0.0,0.15275097,0.010497104,0.0,3890.3635,13222.915,36969.09,9.502734,0.015129773,0.113483116,50688796.0,51722944.0,1375.0,0.97997993,0.29850385,965.8125
6863,1153.4735,1.2226758,382.59058,1.2919677,0.7777837,265.8656,0.018226817,0.011279972,0.0032286115,0.0005914636,1.1772332,1.1585408,0.9898429,0.13057145,0.32675087,0.4462363,0.64780045,0.7866795,0.18436293,0.0037403475,0.0,0.327944,0.061172776,0.0,6609.8774,24151.816,70078.8,10.602133,0.024353042,0.2027029,103479060.0,127278584.0,500.0,0.8130091,0.29416025,1011.4375
6864,1123.6816,0.8207202,598.5408,1.5337278,0.9799644,427.28217,0.021019813,0.008485071,0.0039733825,7.1781724e-05,1.2478101,1.0561545,0.85929215,0.14498225,0.18778564,0.649787,0.585951,0.3949083,0.004464286,0.0,0.0,0.23877895,0.0060328185,0.0,6166.8184,23671.027,67419.04,10.9325485,0.014940393,0.12865,60016384.0,81361470.0,0.0,0.73765117,0.22152509,631.875
6865,684.8105,1.2404635,527.0178,1.4602458,0.950682,170.7827,0.040124778,0.011813823,0.0014629095,0.0005326454,1.7201399,0.8314203,1.1304752,0.23556149,0.3639478,0.47262394,0.7700563,0.3766892,0.005912162,0.0,0.0,0.19425675,0.0511583,0.0,3664.9893,11721.272,29956.395,8.173665,0.024502486,0.18285781,79210830.0,76857610.0,12250.0,1.0304538,0.4197635,1589.5625
6866,569.8226,0.9857539,748.9772,1.6955323,0.81329006,275.98532,0.01563069,0.014432641,0.0012446656,0.0006563654,1.4176359,0.99905056,0.7808686,0.097782046,0.42856878,0.69353956,0.94571674,0.08301158,0.0016891891,0.0,0.0,0.15890443,0.05284749,0.0,3457.5557,13291.973,45912.332,13.278841,0.016192898,0.15682092,48228024.0,49483600.0,1468.75,0.9745975,0.24770752,825.875
6867,1019.62054,1.3535564,317.59094,1.3265114,1.1243719,360.34753,0.035354003,0.005760042,0.0024424752,0.0003697983,0.79884624,1.1463332,1.0606476,0.17653224,0.25029826,0.41637066,0.7102909,0.90444016,0.31515443,0.0030164092,0.0,0.27352798,0.04295367,0.0,6704.411,21265.043,50744.67,7.5688486,0.02372723,0.18170507,106480260.0,124827460.0,93.75,0.8530189,0.39116797,1306.375
6868,893.1261,1.015267,486.20038,1.2588964,1.1718438,457.2851,0.010797977,0.012540672,0.0005686253,0.00044796866,1.4925832,1.2478378,0.756645,0.22511087,0.2943073,0.3702048,0.6948999,0.722973,0.22562742,0.0050675673,0.0,0.11353764,0.040419884,0.0,5933.0986,21058.152,69620.76,11.7343,0.014928199,0.14331594,60304464.0,79559610.0,31.25,0.7579781,0.19510135,587.875
6869,610.114,1.4459113,650.9854,1.6226288,0.804519,200.91333,0.030518657,0.0031194282,0.0030895092,0.0001555419,0.5408888,0.8975464,1.0268723,0.13387145,0.3882038,0.7457639,0.8615742,0.14647684,0.00084459456,0.0,0.0,0.30501932,0.019787647,0.0,3847.7053,14353.915,40813.06,10.607117,0.021454107,0.16087532,75592750.0,78898020.0,125.0,0.95810556,0.3544884,1130.4375
6870,812.6981,0.7787504,367.25803,1.4065697,0.8786002,311.5418,0.026184635,0.0066295993,0.0033095123,0.0002792632,0.9356749,0.8079172,0.95322347,0.18731102,0.315719,0.5139573,0.8359157,0.61438227,0.034387067,0.00060328183,0.0,0.20028958,0.018219111,0.0,3998.7446,14522.211,52961.086,13.244428,0.014652839,0.13426249,50456690.0,55920764.0,0.0,0.902289,0.23214285,636.0
6871,1084.762,1.1605544,703.43,1.5029156,1.0766258,395.86206,0.045291923,0.009207005,0.0021011783,0.0007459861,1.8463295,1.079658,1.2320428,0.10790065,0.22393286,0.58951056,0.6205588,0.42471042,0.0016891891,0.00012065637,0.0,0.24541505,0.06491313,0.0,6837.992,20945.484,56538.594,8.268303,0.022652868,0.18260422,95279830.0,114222150.0,3000.0,0.83414054,0.42024612,1462.6875
6872,1033.8416,0.9390364,404.5975,1.6108654,0.9395347,328.63132,0.013795042,0.012934102,0.00073884893,0.00040501615,1.9382185,1.0297276,1.0085454,0.20183559,0.44344193,0.3754291,0.90915024,0.52039087,0.0066361004,0.0,0.0,0.102919884,0.0331805,0.0,5668.965,21779.355,71580.54,12.626739,0.015365654,0.1386528,66624144.0,85968240.0,187.5,0.7749839,0.20921814,635.8125
6873,775.43884,1.3193175,724.65375,1.2987332,1.0227523,247.55861,0.03468956,0.0042615095,0.0028120356,0.0006915634,1.0326612,0.86395127,0.7298458,0.12043129,0.2651704,0.70294124,0.7469672,0.56491315,0.031129345,0.0007239382,0.0,0.30381274,0.07528958,0.0,4949.131,16720.092,44361.375,8.963468,0.023011066,0.19592921,82083780.0,90715016.0,218.75,0.9048511,0.3758446,1195.0
